em,one_five,two,three,four
1555.55555556,0.9571101239332822,0.6635904104101992,0.13940671413895614,0.04011261529329829
1561.56156156,0.9578201038930587,0.6658735092589415,0.1403986523659778,0.04037042368212649
1567.56756757,0.9585222432810552,0.6681509593054364,0.14139538319095035,0.040629574310432924
1573.57357357,0.959216597062254,0.6704226897195731,0.14239691009253563,0.040890071879363304
1579.57957958,0.9599032202973239,0.6726886302756132,0.14340323637722727,0.04115192109078568
1585.58558559,0.9605821681340763,0.6749487113585166,0.1444143651783286,0.04141512664717004
1591.59159159,0.9612534957990014,0.6772028639701598,0.14543029945493935,0.04167969325146727
1597.5975976,0.9619172585888847,0.6794510197354459,0.14645104199095121,0.041945625606987405
1603.6036036,0.962573511862504,0.6816931109083058,0.14747659539405236,0.042212928417277355
1609.60960961,0.9632223110324099,0.6839290703775899,0.14850696209474123,0.04248160638599788
1615.61561562,0.963863711556789,0.6861588316728492,0.14954214434534954,0.042751664216799976
1621.62162162,0.9644977689314109,0.6883823289700045,0.15058214421907481,0.04302310661320065
1627.62762763,0.9651245386816611,0.690599497096904,0.15162696360902245,0.043295938278458006
1633.63363363,0.9657440763546588,0.6928102715387684,0.1526766042272575,0.04357016391544574
1639.63963964,0.9663564375114619,0.6950145884435213,0.15373106760386648,0.043845788226527
1645.64564565,0.9669616777193597,0.6972123846270066,0.15479035508602887,0.04412281591342759
1651.65165165,0.9675598525442528,0.6994035975780911,0.1558544678370991,0.044401251677108594
1657.65765766,0.9681510175431229,0.7015881654636503,0.15692340683569858,0.04468110021763834
1663.66366366,0.9687352282565914,0.7037660271334397,0.1579971728748182,0.044962366234063786
1669.66966967,0.9693125402015684,0.7059371221248488,0.1590757665609315,0.04524505442428124
1675.67567568,0.9698830088639927,0.708101390667538,0.1601591883131183,0.04552916948490651
1681.68168168,0.9704466896916627,0.7102587736879579,0.16124743836219935,0.04581471611114441
1687.68768769,0.9710036380871596,0.7124092128137508,0.16234051674988184,0.046101698996657677
1693.69369369,0.9715539094008626,0.7145526503780335,0.16343842332791605,0.04639012283343527
1699.6996997,0.9720975589240572,0.7166890294235609,0.16454115775726316,0.04667999231166008
1705.70570571,0.9726346418821371,0.7188182937067705,0.1656487195072744,0.046971312119576024
1711.71171171,0.9731652134278991,0.7209403877017071,0.16676110785488177,0.047264086943354544
1717.71771772,0.9736893286349326,0.7230552566038276,0.16787832188380034,0.04755832146696052
1723.72372372,0.9742070424911041,0.7251628463336854,0.16900036048374217,0.04785402037201758
1729.72972973,0.9747184098921353,0.7272631035404942,0.17012722234964234,0.04815118833767284
1735.73573574,0.9752234856352772,0.7293559756055702,0.17125890598089671,0.048449830040461016
1741.74174174,0.9757223244130793,0.7314414106456549,0.172395409680612,0.04874995015416801
1747.74774775,0.9762149808072546,0.7335193575161147,0.17353673155486807,0.049051553349693876
1753.75375375,0.9767015092826399,0.7355897658140202,0.17468286951199244,0.049354644294915206
1759.75975976,0.977181964181253,0.7376525858811036,0.1758338212618476,0.049659227654546986
1765.76576577,0.9776563997164451,0.7397077688065941,0.1769895843151306,0.04996530809000383
1771.77177177,0.9781248699671502,0.741755266429932,0.17815015598268563,0.05027289025926067
1777.77777778,0.9785874288722303,0.7437950313433607,0.17931553337482942,0.0505819788167129
1783.78378378,0.9790441302249174,0.7458270168943966,0.18048571340068947,0.050892578413035926
1789.78978979,0.9794950276673524,0.7478511771881775,0.1816606927675556,0.05120469369504418
1795.7957958,0.9799401746852194,0.7498674670896889,0.18284046798024456,0.05151832930554956
1801.8018018,0.9803796246024775,0.7518758422258683,0.18402503534047812,0.051833489883219376
1807.80780781,0.9808134305761886,0.7538762589875886,0.18521439094627445,0.05215018006243367
1813.81381381,0.9812416455914418,0.7558686745315183,0.1864085306913532,0.052468404473142036
1819.81981982,0.9816643224563738,0.7578530467818622,0.18760745026455422,0.05278816774071993
1825.82582583,0.9820815137972859,0.7598293344319789,0.18881114514927003,0.05310947448582437
1831.83183183,0.982493272053857,0.7617974969458786,0.19001961062289227,0.053432329324249184
1837.83783784,0.9828996494744516,0.7637574945595992,0.19123284175627214,0.053756736866779675
1843.84384384,0.9833006981115257,0.7657092882824614,0.19245083341319497,0.05408270171904678
1849.84984985,0.9836964698171251,0.7676528398982044,0.19367358024986892,0.0544102284813807
1855.85585586,0.9840870162384822,0.7695881119660006,0.19490107671442825,0.05473932174866406
1861.86186186,0.9844723888137051,0.7715150678213509,0.1961333170464508,0.05506998611018449
1867.86786787,0.9848526387675635,0.7734336715768602,0.19737029527649008,0.05540222614948672
1873.87387387,0.9852278171073673,0.7753438881228938,0.1986120052256222,0.055736046444224224
1879.87987988,0.985597974618941,0.7772456831281157,0.1998584405050072,0.05607145156601027
1885.88588589,0.9859631618626906,0.7791390230399077,0.20110959451546553,0.05640844608026854
1891.89189189,0.9863234291697645,0.7810238750846711,0.20236546044706938,0.05674703454608328
1897.8978979,0.986678826638307,0.7829002072680111,0.20362603127874898,0.05708722151604886
1903.9039039,0.9870294041298052,0.7847679883748041,0.2048912997779142,0.057429011536118964
1909.90990991,0.9873752112655274,0.7866271879691482,0.20616125850009118,0.057772409145455256
1915.91591592,0.9877162974230534,0.788477776394199,0.20743589978857452,0.05811741887627554
1921.92192192,0.9880527117328963,0.7903197247718886,0.2087152157740947,0.05846404525370151
1927.92792793,0.988384503075215,0.7921530050025312,0.2099991983745011,0.058812292795605986
1933.93393393,0.9887117200766167,0.7939775897643137,0.21128783929446063,0.05916216601245972
1939.93993994,0.9890344111070499,0.7957934525126733,0.21258113002517195,0.059513669407177734
1945.94594595,0.9893526242767863,0.7976005674795621,0.2138790618440956,0.0598668074749652
1951.95195195,0.9896664074334911,0.7993989096725994,0.21518162581469988,0.0602215847031629
1957.95795796,0.9899758081593819,0.8011884548741129,0.21648881278622262,0.06057800557109219
1963.96396396,0.9902808737684751,0.8029691796400691,0.21780061339344917,0.06093607454989961
1969.96996997,0.990581651303919,0.804741061298893,0.21911701805650624,0.06129579610240098
1975.97597598,0.9908781875354135,0.8065040779501798,0.2204380169806721,0.061657174682925114
1981.98198198,0.9911705289567156,0.8082582084632968,0.22176360015620294,0.06202021473715708
1987.98798799,0.9914587217832301,0.8100034324758789,0.22309375735817547,0.0623849207019811
1993.99399399,0.9917428119496836,0.8117397303922164,0.22442847814634612,0.06275129700532298
